year,geog,fips,statecd,theme_id,indic_id,median_hh_income,moe_median_hh_income
2000,Alexandria,51510,51,11,1101,56054,
2005,Alexandria,51510,51,11,1101,66116,6222
2006,Alexandria,51510,51,11,1101,80449,3110
2007,Alexandria,51510,51,11,1101,80806,4533
2008,Alexandria,51510,51,11,1101,86682,6961
2009,Alexandria,51510,51,11,1101,77095,6182
2010,Alexandria,51510,51,11,1101,77793,5014
2000,District of Columbia,11001,11,11,1101,40127,
2005,District of Columbia,11001,11,11,1101,47221,1934
2006,District of Columbia,11001,11,11,1101,51847,1221
2007,District of Columbia,11001,11,11,1101,54317,1984
2008,District of Columbia,11001,11,11,1101,57936,2402
2009,District of Columbia,11001,11,11,1101,59290,1710
2010,District of Columbia,11001,11,11,1101,60903,1540
2000,Arlington,51013,51,11,1101,63001,
2005,Arlington,51013,51,11,1101,80433,6247
2006,Arlington,51013,51,11,1101,87350,4177
2007,Arlington,51013,51,11,1101,94876,4154
2008,Arlington,51013,51,11,1101,101171,4575
2009,Arlington,51013,51,11,1101,96218,5567
2010,Arlington,51013,51,11,1101,94986,4776
2000,Fairfax,51059,51,11,1101,81050,
2005,Fairfax,51059,51,11,1101,94610,2406
2006,Fairfax,51059,51,11,1101,100318,1974
2007,Fairfax,51059,51,11,1101,105241,1822
2008,Fairfax,51059,51,11,1101,107448,1952
2009,Fairfax,51059,51,11,1101,102499,1701
2010,Fairfax,51059,51,11,1101,103010,2121
2000,Virginia,,51,11,1101,46677,
2005,Virginia,,51,11,1101,54240,540
2006,Virginia,,51,11,1101,56277,458
2007,Virginia,,51,11,1101,59562,589
2008,Virginia,,51,11,1101,61233,435
2009,Virginia,,51,11,1101,59330,482
2010,Virginia,,51,11,1101,60674,457
2000,US,,,11,1101,41994,
2005,US,,,11,1101,46242,104
2006,US,,,11,1101,48451,82
2007,US,,,11,1101,50740,75
2008,US,,,11,1101,52029,73
2009,US,,,11,1101,50221,74
2010,US,,,11,1101,50046,64
