year,geog,fips,statecd,theme_id,indic_id,num_homeless
2007,Arlington,51013,51,2,202,462
2008,Arlington,51013,51,2,202,410
2009,Arlington,51013,51,2,202,511
2010,Arlington,51013,51,2,202,531
2011,Arlington,51013,51,2,202,461
2007,Alexandria,51510,51,2,202,375
2008,Alexandria,51510,51,2,202,348
2009,Alexandria,51510,51,2,202,360
2010,Alexandria,51510,51,2,202,359
2011,Alexandria,51510,51,2,202,416
2007,Fairfax,51059,51,2,202,1813
2008,Fairfax,51059,51,2,202,1835
2009,Fairfax,51059,51,2,202,1730
2010,Fairfax,51059,51,2,202,1544
2011,Fairfax,51059,51,2,202,1549
2007,Loudoun,51107,51,2,202,211
2008,Loudoun,51107,51,2,202,170
2009,Loudoun,51107,51,2,202,152
2010,Loudoun,51107,51,2,202,157
2011,Loudoun,51107,51,2,202,156
2007,Prince William,51153,51,2,202,614
2008,Prince William,51153,51,2,202,550
2009,Prince William,51153,51,2,202,630
2010,Prince William,51153,51,2,202,488
2011,Prince William,51153,51,2,202,675
2007,District of Columbia,11001,11,2,202,5757
2008,District of Columbia,11001,11,2,202,6044
2009,District of Columbia,11001,11,2,202,6228
2010,District of Columbia,11001,11,2,202,6539
2011,District of Columbia,11001,11,2,202,6546
2007,Frederick,24021,24,2,202,223
2008,Frederick,24021,24,2,202,302
2009,Frederick,24021,24,2,202,324
2010,Frederick,24021,24,2,202,303
2011,Frederick,24021,24,2,202,280
2007,Montgomery,24031,24,2,202,1139
2008,Montgomery,24031,24,2,202,1104
2009,Montgomery,24031,24,2,202,1194
2010,Montgomery,24031,24,2,202,1064
2011,Montgomery,24031,24,2,202,1132
2007,Prince George's,24033,24,2,202,1168
2008,Prince George's,24033,24,2,202,943
2009,Prince George's,24033,24,2,202,853
2010,Prince George's,24033,24,2,202,789
2011,Prince George's,24033,24,2,202,773
