year,geog,fips,statecd,theme_id,indic_id,pct_publictransit_work,moe_publictransit_work
2005,Alexandria,51510,51,5,506,0.17906526,0.025599334
2006,Alexandria,51510,51,5,506,0.205480448,0.035603528
2007,Alexandria,51510,51,5,506,0.229662232,0.027
2008,Alexandria,51510,51,5,506,0.224383009,0.028
2009,Alexandria,51510,51,5,506,0.207392011,0.027
2010,Alexandria,51510,51,5,506,0.211177996,0.029
2005,Virginia,,51,5,506,0.036800537,
2006,Virginia,,51,5,506,0.04089287,0.001889297
2007,Virginia,,51,5,506,0.037695146,0.2
2008,Virginia,,51,5,506,0.042861944,0.3
2009,Virginia,,51,5,506,0.044041746,0.2
2010,Virginia,,51,5,506,0.043830055,0.2
2005,Washington Metro,,,5,506,0.132018756,
2006,Washington Metro,,,5,506,0.141749984,
2007,Washington Metro,,,5,506,0.133353143,0.4
2008,Washington Metro,,,5,506,0.13433819,0.4
2009,Washington Metro,,,5,506,0.141450526,0.4
2010,Washington Metro,,,5,506,0.13981118,0.4
